Frame,Time (s),X (m),Y (m),Z (m),RotX (deg),RotY (deg),RotZ (deg)
280,11.6667,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
281,11.7083,7.35889,-6.92579,4.95831,80.64,-0.0,0.0
282,11.75,7.35889,-6.92579,4.95831,58.32,-0.0,0.0
283,11.7917,7.35889,-6.92579,4.95831,31.68,-0.0,0.0
284,11.8333,7.35889,-6.92579,4.95831,9.36,-0.0,0.0
285,11.875,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
286,11.9167,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
287,11.9583,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
288,12.0,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
289,12.0417,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
290,12.0833,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
