Frame,Time (s),X (m),Y (m),Z (m),RotX (deg),RotY (deg),RotZ (deg)
160,6.6667,7.35889,-6.92579,4.95831,90.0,-0.0,0.0
161,6.7083,7.35889,-6.92579,4.95831,89.71,-0.0,0.0
162,6.75,7.35889,-6.92579,4.95831,88.85,-0.0,0.0
163,6.7917,7.35889,-6.92579,4.95831,87.48,-0.0,0.0
164,6.8333,7.35889,-6.92579,4.95831,85.63,-0.0,0.0
165,6.875,7.35889,-6.92579,4.95831,83.33,-0.0,0.0
166,6.9167,7.35889,-6.92579,4.95831,80.64,-0.0,0.0
167,6.9583,7.35889,-6.92579,4.95831,77.59,-0.0,0.0
168,7.0,7.35889,-6.92579,4.95831,74.21,-0.0,0.0
169,7.0417,7.35889,-6.92579,4.95831,70.56,-0.0,0.0
170,7.0833,7.35889,-6.92579,4.95831,66.67,-0.0,0.0
171,7.125,7.35889,-6.92579,4.95831,62.57,-0.0,0.0
172,7.1667,7.35889,-6.92579,4.95831,58.32,-0.0,0.0
173,7.2083,7.35889,-6.92579,4.95831,53.95,-0.0,0.0
174,7.25,7.35889,-6.92579,4.95831,49.49,-0.0,0.0
175,7.2917,7.35889,-6.92579,4.95831,45.0,-0.0,0.0
176,7.3333,7.35889,-6.92579,4.95831,40.51,-0.0,0.0
177,7.375,7.35889,-6.92579,4.95831,36.05,-0.0,0.0
178,7.4167,7.35889,-6.92579,4.95831,31.68,-0.0,0.0
179,7.4583,7.35889,-6.92579,4.95831,27.43,-0.0,0.0
180,7.5,7.35889,-6.92579,4.95831,23.33,-0.0,0.0
181,7.5417,7.35889,-6.92579,4.95831,19.44,-0.0,0.0
182,7.5833,7.35889,-6.92579,4.95831,15.79,-0.0,0.0
183,7.625,7.35889,-6.92579,4.95831,12.41,-0.0,0.0
184,7.6667,7.35889,-6.92579,4.95831,9.36,-0.0,0.0
185,7.7083,7.35889,-6.92579,4.95831,6.67,-0.0,0.0
186,7.75,7.35889,-6.92579,4.95831,4.37,-0.0,0.0
187,7.7917,7.35889,-6.92579,4.95831,2.52,-0.0,0.0
188,7.8333,7.35889,-6.92579,4.95831,1.15,-0.0,0.0
189,7.875,7.35889,-6.92579,4.95831,0.29,-0.0,0.0
190,7.9167,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
191,7.9583,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
192,8.0,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
193,8.0417,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
194,8.0833,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
195,8.125,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
196,8.1667,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
197,8.2083,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
198,8.25,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
199,8.2917,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
200,8.3333,7.35889,-6.92579,4.95831,0.0,-0.0,0.0
