Frame,Time (s),X (m),Y (m),Z (m),RotX (deg),RotY (deg),RotZ (deg)
330,13.75,0.0,0.0,0.0,90.0,-0.0,0.0
331,13.7917,-0.00054,0.0,0.0,90.0,-0.0,0.0
332,13.8333,-0.0021,0.0,0.0,90.0,-0.0,0.0
333,13.875,-0.00462,0.0,0.0,90.0,-0.0,0.0
334,13.9167,-0.00802,0.0,0.0,90.0,-0.0,0.0
335,13.9583,-0.01223,0.0,0.0,90.0,-0.0,0.0
336,14.0,-0.01717,0.0,0.0,90.0,-0.0,0.0
337,14.0417,-0.02277,0.0,0.0,90.0,-0.0,0.0
338,14.0833,-0.02896,0.0,0.0,90.0,-0.0,0.0
339,14.125,-0.03566,0.0,0.0,90.0,-0.0,0.0
340,14.1667,-0.0428,0.0,0.0,90.0,-0.0,0.0
341,14.2083,-0.05031,0.0,0.0,90.0,-0.0,0.0
342,14.25,-0.05812,0.0,0.0,90.0,-0.0,0.0
343,14.2917,-0.06614,0.0,0.0,90.0,-0.0,0.0
344,14.3333,-0.07431,0.0,0.0,90.0,-0.0,0.0
345,14.375,-0.08255,0.0,0.0,90.0,-0.0,0.0
346,14.4167,-0.09079,0.0,0.0,90.0,-0.0,0.0
347,14.4583,-0.09896,0.0,0.0,90.0,-0.0,0.0
348,14.5,-0.10698,0.0,0.0,90.0,-0.0,0.0
349,14.5417,-0.11479,0.0,0.0,90.0,-0.0,0.0
350,14.5833,-0.1223,0.0,0.0,90.0,-0.0,0.0
351,14.625,-0.12944,0.0,0.0,90.0,-0.0,0.0
352,14.6667,-0.13614,0.0,0.0,90.0,-0.0,0.0
353,14.7083,-0.14233,0.0,0.0,90.0,-0.0,0.0
354,14.75,-0.14793,0.0,0.0,90.0,-0.0,0.0
355,14.7917,-0.15287,0.0,0.0,90.0,-0.0,0.0
356,14.8333,-0.15708,0.0,0.0,90.0,-0.0,0.0
357,14.875,-0.16048,0.0,0.0,90.0,-0.0,0.0
358,14.9167,-0.163,0.0,0.0,90.0,-0.0,0.0
359,14.9583,-0.16456,0.0,0.0,90.0,-0.0,0.0
360,15.0,-0.1651,0.0,0.0,90.0,-0.0,0.0
361,15.0417,-0.16456,0.0,0.0,90.0,-0.0,0.0
362,15.0833,-0.163,0.0,0.0,90.0,-0.0,0.0
363,15.125,-0.16048,0.0,0.0,90.0,-0.0,0.0
364,15.1667,-0.15708,0.0,0.0,90.0,-0.0,0.0
365,15.2083,-0.15287,0.0,0.0,90.0,-0.0,0.0
366,15.25,-0.14793,0.0,0.0,90.0,-0.0,0.0
367,15.2917,-0.14233,0.0,0.0,90.0,-0.0,0.0
368,15.3333,-0.13614,0.0,0.0,90.0,-0.0,0.0
369,15.375,-0.12944,0.0,0.0,90.0,-0.0,0.0
370,15.4167,-0.1223,0.0,0.0,90.0,-0.0,0.0
371,15.4583,-0.11479,0.0,0.0,90.0,-0.0,0.0
372,15.5,-0.10698,0.0,0.0,90.0,-0.0,0.0
373,15.5417,-0.09896,0.0,0.0,90.0,-0.0,0.0
374,15.5833,-0.09079,0.0,0.0,90.0,-0.0,0.0
375,15.625,-0.08255,0.0,0.0,90.0,-0.0,0.0
376,15.6667,-0.07431,0.0,0.0,90.0,-0.0,0.0
377,15.7083,-0.06614,0.0,0.0,90.0,-0.0,0.0
378,15.75,-0.05812,0.0,0.0,90.0,-0.0,0.0
379,15.7917,-0.05031,0.0,0.0,90.0,-0.0,0.0
380,15.8333,-0.0428,0.0,0.0,90.0,-0.0,0.0
381,15.875,-0.03566,0.0,0.0,90.0,-0.0,0.0
382,15.9167,-0.02896,0.0,0.0,90.0,-0.0,0.0
383,15.9583,-0.02277,0.0,0.0,90.0,-0.0,0.0
384,16.0,-0.01717,0.0,0.0,90.0,-0.0,0.0
385,16.0417,-0.01223,0.0,0.0,90.0,-0.0,0.0
386,16.0833,-0.00802,0.0,0.0,90.0,-0.0,0.0
387,16.125,-0.00462,0.0,0.0,90.0,-0.0,0.0
388,16.1667,-0.0021,0.0,0.0,90.0,-0.0,0.0
389,16.2083,-0.00054,0.0,0.0,90.0,-0.0,0.0
390,16.25,0.0,0.0,0.0,90.0,-0.0,0.0
