Frame,Time (s),X (m),Y (m),Z (m),RotX (deg),RotY (deg),RotZ (deg)
400,16.6667,0.0,0.0,0.0,90.0,-0.0,0.0
401,16.7083,-0.00025,0.0,0.0,90.0,-0.0,0.0
402,16.75,-0.00097,0.0,0.0,90.0,-0.0,0.0
403,16.7917,-0.00213,0.0,0.0,90.0,-0.0,0.0
404,16.8333,-0.0037,0.0,0.0,90.0,-0.0,0.0
405,16.875,-0.00564,0.0,0.0,90.0,-0.0,0.0
406,16.9167,-0.00792,0.0,0.0,90.0,-0.0,0.0
407,16.9583,-0.01051,0.0,0.0,90.0,-0.0,0.0
408,17.0,-0.01337,0.0,0.0,90.0,-0.0,0.0
409,17.0417,-0.01646,0.0,0.0,90.0,-0.0,0.0
410,17.0833,-0.01976,0.0,0.0,90.0,-0.0,0.0
411,17.125,-0.02322,0.0,0.0,90.0,-0.0,0.0
412,17.1667,-0.02682,0.0,0.0,90.0,-0.0,0.0
413,17.2083,-0.03053,0.0,0.0,90.0,-0.0,0.0
414,17.25,-0.0343,0.0,0.0,90.0,-0.0,0.0
415,17.2917,-0.0381,0.0,0.0,90.0,-0.0,0.0
416,17.3333,-0.0419,0.0,0.0,90.0,-0.0,0.0
417,17.375,-0.04567,0.0,0.0,90.0,-0.0,0.0
418,17.4167,-0.04938,0.0,0.0,90.0,-0.0,0.0
419,17.4583,-0.05298,0.0,0.0,90.0,-0.0,0.0
420,17.5,-0.05644,0.0,0.0,90.0,-0.0,0.0
421,17.5417,-0.05974,0.0,0.0,90.0,-0.0,0.0
422,17.5833,-0.06283,0.0,0.0,90.0,-0.0,0.0
423,17.625,-0.06569,0.0,0.0,90.0,-0.0,0.0
424,17.6667,-0.06828,0.0,0.0,90.0,-0.0,0.0
425,17.7083,-0.07056,0.0,0.0,90.0,-0.0,0.0
426,17.75,-0.0725,0.0,0.0,90.0,-0.0,0.0
427,17.7917,-0.07407,0.0,0.0,90.0,-0.0,0.0
428,17.8333,-0.07523,0.0,0.0,90.0,-0.0,0.0
429,17.875,-0.07595,0.0,0.0,90.0,-0.0,0.0
430,17.9167,-0.0762,0.0,0.0,90.0,-0.0,0.0
431,17.9583,-0.07595,0.0,0.0,90.0,-0.0,0.0
432,18.0,-0.07523,0.0,0.0,90.0,-0.0,0.0
433,18.0417,-0.07407,0.0,0.0,90.0,-0.0,0.0
434,18.0833,-0.0725,0.0,0.0,90.0,-0.0,0.0
435,18.125,-0.07056,0.0,0.0,90.0,-0.0,0.0
436,18.1667,-0.06828,0.0,0.0,90.0,-0.0,0.0
437,18.2083,-0.06569,0.0,0.0,90.0,-0.0,0.0
438,18.25,-0.06283,0.0,0.0,90.0,-0.0,0.0
439,18.2917,-0.05974,0.0,0.0,90.0,-0.0,0.0
440,18.3333,-0.05644,0.0,0.0,90.0,-0.0,0.0
441,18.375,-0.05298,0.0,0.0,90.0,-0.0,0.0
442,18.4167,-0.04938,0.0,0.0,90.0,-0.0,0.0
443,18.4583,-0.04567,0.0,0.0,90.0,-0.0,0.0
444,18.5,-0.0419,0.0,0.0,90.0,-0.0,0.0
445,18.5417,-0.0381,0.0,0.0,90.0,-0.0,0.0
446,18.5833,-0.0343,0.0,0.0,90.0,-0.0,0.0
447,18.625,-0.03053,0.0,0.0,90.0,-0.0,0.0
448,18.6667,-0.02682,0.0,0.0,90.0,-0.0,0.0
449,18.7083,-0.02322,0.0,0.0,90.0,-0.0,0.0
450,18.75,-0.01976,0.0,0.0,90.0,-0.0,0.0
451,18.7917,-0.01646,0.0,0.0,90.0,-0.0,0.0
452,18.8333,-0.01337,0.0,0.0,90.0,-0.0,0.0
453,18.875,-0.01051,0.0,0.0,90.0,-0.0,0.0
454,18.9167,-0.00792,0.0,0.0,90.0,-0.0,0.0
455,18.9583,-0.00564,0.0,0.0,90.0,-0.0,0.0
456,19.0,-0.0037,0.0,0.0,90.0,-0.0,0.0
457,19.0417,-0.00213,0.0,0.0,90.0,-0.0,0.0
458,19.0833,-0.00097,0.0,0.0,90.0,-0.0,0.0
459,19.125,-0.00025,0.0,0.0,90.0,-0.0,0.0
460,19.1667,0.0,0.0,0.0,90.0,-0.0,0.0
461,19.2083,-0.00097,0.0,0.0,90.0,-0.0,0.0
462,19.25,-0.0037,0.0,0.0,90.0,-0.0,0.0
463,19.2917,-0.00792,0.0,0.0,90.0,-0.0,0.0
464,19.3333,-0.01337,0.0,0.0,90.0,-0.0,0.0
465,19.375,-0.01976,0.0,0.0,90.0,-0.0,0.0
466,19.4167,-0.02682,0.0,0.0,90.0,-0.0,0.0
467,19.4583,-0.0343,0.0,0.0,90.0,-0.0,0.0
468,19.5,-0.0419,0.0,0.0,90.0,-0.0,0.0
469,19.5417,-0.04938,0.0,0.0,90.0,-0.0,0.0
470,19.5833,-0.05644,0.0,0.0,90.0,-0.0,0.0
471,19.625,-0.06283,0.0,0.0,90.0,-0.0,0.0
472,19.6667,-0.06828,0.0,0.0,90.0,-0.0,0.0
473,19.7083,-0.0725,0.0,0.0,90.0,-0.0,0.0
474,19.75,-0.07523,0.0,0.0,90.0,-0.0,0.0
475,19.7917,-0.0762,0.0,0.0,90.0,-0.0,0.0
476,19.8333,-0.07523,0.0,0.0,90.0,-0.0,0.0
477,19.875,-0.0725,0.0,0.0,90.0,-0.0,0.0
478,19.9167,-0.06828,0.0,0.0,90.0,-0.0,0.0
479,19.9583,-0.06283,0.0,0.0,90.0,-0.0,0.0
480,20.0,-0.05644,0.0,0.0,90.0,-0.0,0.0
481,20.0417,-0.04938,0.0,0.0,90.0,-0.0,0.0
482,20.0833,-0.0419,0.0,0.0,90.0,-0.0,0.0
483,20.125,-0.0343,0.0,0.0,90.0,-0.0,0.0
484,20.1667,-0.02682,0.0,0.0,90.0,-0.0,0.0
485,20.2083,-0.01976,0.0,0.0,90.0,-0.0,0.0
486,20.25,-0.01337,0.0,0.0,90.0,-0.0,0.0
487,20.2917,-0.00792,0.0,0.0,90.0,-0.0,0.0
488,20.3333,-0.0037,0.0,0.0,90.0,-0.0,0.0
489,20.375,-0.00097,0.0,0.0,90.0,-0.0,0.0
490,20.4167,0.0,0.0,0.0,90.0,-0.0,0.0
